DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F1|F2|Segment|CentroidID|F1LOG|F0LOG
1048608|3657232|47.42|2|13.105|20160717|199|0.42454726641130996|0.6118153564050985|AVERAGE CUSTOMERS|300|2.5729938367753697|3.8590440806372595
1048608|7042792|8.2|1|1.8006|20160802|215|0.2701864589208229|0.4761326826975426|LOWER RANGE CUSTOMERS|400|0.5881199426922393|2.1041341542702074
1048608|4093699|540.89|3|51.6535|20161116|321|0.6386555387205186|0.7055731954078392|GOOD CUSTOMERS|200|3.944557957064558|6.293215931000806
1048608|8871750|1379.39|13|227.2241|20161207|342|0.721001424280302|0.8068377828958163|MOST VALUED CUSTOMERS|100|5.425936755165215|7.229396651442133
1048608|8419331|100.21|5|28.832|20160531|152|0.49036058490834245|0.6657153593897943|AVERAGE CUSTOMERS|300|3.3614858814259274|4.607267984070237
1048608|3805450|150.98|1|22.073|20160909|253|0.5264133265479951|0.6474547469442137|GOOD CUSTOMERS|200|3.094355142159075|5.017147377711479
1048608|5477185|358.29|5|23.4964|20160828|241|0.6024274216240602|0.651726601166707|GOOD CUSTOMERS|200|3.156847217925737|5.881342714348445
1048608|7000439|618.1|2|50.6089|20161126|331|0.650392340676587|0.7041765999813064|GOOD CUSTOMERS|200|3.924127450154769|6.426650256665227
1048608|3305660|42.58|2|5.1078|20160805|218|0.4150776093443745|0.5474064209593034|AVERAGE CUSTOMERS|300|1.6307687831359294|3.7513846594653333
1048608|8392172|26.7|1|7.0859|20160705|187|0.37402510638147174|0.5697827090560468|AVERAGE CUSTOMERS|300|1.9581068940095203|3.2846635654062037
1048608|4042438|19.99|1|5.7025|20160805|218|0.34856689536243346|0.5549351271142712|LOWER RANGE CUSTOMERS|400|1.740904675176406|2.995232148512309
1048608|4095299|506.74|7|102.9474|20161221|356|0.6329190137940908|0.7527172195341025|GOOD CUSTOMERS|200|4.6342181781767415|6.227998051540951
1048608|5401619|1299.66|24|202.4569|20161213|348|0.7157644382186839|0.798948565908|MOST VALUED CUSTOMERS|100|5.310527024386879|7.169857970780942
1048608|5499830|1279.61|7|395.3592|20161111|316|0.7143969029829711|0.844698590869356|MOST VALUED CUSTOMERS|100|5.979794718765974|7.154310622986996
1048608|7093317|69.46|1|12.1083|20160814|227|0.45812197854667225|0.6064080296988993|AVERAGE CUSTOMERS|300|2.4938911678594646|4.240751047315928
1048608|4517044|78.12|1|1.0|20160424|115|0.4684567722950158|0.4359297828946418|LOWER RANGE CUSTOMERS|400|0.0|4.358246106008478
1048608|4609344|48.47|1|5.5427|20160421|112|0.42647366231507344|0.5529921830573884|AVERAGE CUSTOMERS|300|1.7124817466565672|3.8809450498572846
1048608|4227241|93.56|4|13.9004|20160921|265|0.48432084963479827|0.6158432878666891|AVERAGE CUSTOMERS|300|2.631917616701014|4.538602941715978
1048608|7459190|503.59|3|136.0039|20161202|337|0.6323705336384482|0.7717526493903875|GOOD CUSTOMERS|200|4.912683561795478|6.22176244494365
1048608|6045691|570.34|6|113.6309|20160824|237|0.6433188591404864|0.7594667367954618|GOOD CUSTOMERS|200|4.732955476342096|6.346232674226486
1048608|4283113|34.99|1|10.1899|20160717|199|0.3978092148271231|0.5946166179628586|AVERAGE CUSTOMERS|300|2.3213970336437915|3.5550623063795967
1048608|6241580|2017.59|33|327.7916|20161226|361|0.7544490694615884|0.8318870988815057|MOST VALUED CUSTOMERS|100|5.792378040600064|7.60965900881455
1048608|3051938|19.99|1|5.5376|20160711|193|0.34856689536243346|0.5529292556040043|LOWER RANGE CUSTOMERS|400|1.7115611938989428|2.995232148512309
1048608|6605853|13.95|1|2.0029|20161025|299|0.3169232723988308|0.4834112175542271|LOWER RANGE CUSTOMERS|400|0.6945961303250497|2.6354795082673745
1048608|8300751|125.63|2|18.4497|20160714|196|0.5102458365462963|0.6351976168643539|AVERAGE CUSTOMERS|300|2.9150481101917367|4.833341079016327
1048608|2426103|10.37|2|3.2412|20161015|289|0.29083781688538607|0.5163153310854329|LOWER RANGE CUSTOMERS|400|1.1759436316044332|2.3389170222414357
1048608|5697379|300.11|5|89.6237|20161223|358|0.586841577030363|0.7432428648147534|GOOD CUSTOMERS|200|4.4956197939331375|5.7041490741170735
1048608|7136580|95.29|1|6.7233|20160624|176|0.48593243557483934|0.5661919969105561|AVERAGE CUSTOMERS|300|1.9055791054275153|4.556924873360097
1048608|6057490|486.91|16|126.0115|20161209|344|0.62940778483401|0.7665361982774049|GOOD CUSTOMERS|200|4.836373172627909|6.188079301075923
1048608|7342090|30.72|1|18.2524|20160715|197|0.3863614410568089|0.6344626600456063|AVERAGE CUSTOMERS|300|2.904296578231548|3.4249139082794713
1048608|6629053|1386.05|36|380.1766|20161218|353|0.7214250897174264|0.8420217579778522|MOST VALUED CUSTOMERS|100|5.940635881605817|7.234213254135235
1048608|4419795|291.92|7|60.5111|20160829|242|0.5844078038512874|0.716392191241472|GOOD CUSTOMERS|200|4.102826819282416|5.676479792128192
1048608|6806007|385.67|9|81.5625|20160916|260|0.6089046954775692|0.7368000783559647|GOOD CUSTOMERS|200|4.401369597517013|5.9549820815305665
1048608|3197588|388.21|11|113.5261|20161203|338|0.6094820915961219|0.7594036618827805|GOOD CUSTOMERS|200|4.732032766432778|5.9615464303206975
1048608|8894455|148.98|1|5.0033|20160904|248|0.525240360899565|0.545993379782361|AVERAGE CUSTOMERS|300|1.610097694729885|5.00381206874813
1048608|7642679|36.0|2|18.0543|20160905|249|0.40031224284001016|0.6337166864119155|AVERAGE CUSTOMERS|300|2.8933838835541237|3.58351893845611
1048608|7359485|22.72|1|1.9326|20160823|236|0.3598268799892956|0.4809687822076676|LOWER RANGE CUSTOMERS|400|0.6588662465830711|3.1232455938529506
1048608|5479326|661.04|15|169.1203|20161214|349|0.6563000535996992|0.7866497579969103|MOST VALUED CUSTOMERS|100|5.130610296008717|6.493814352392929
1048608|5139035|12.21|1|1.0357|20160726|208|0.3052049511962105|0.4383276241943064|LOWER RANGE CUSTOMERS|400|0.03507752661269616|2.502255288122613
1048608|5083658|677.98|38|144.0649|20161230|365|0.6585257284592552|0.7756887448998525|MOST VALUED CUSTOMERS|100|4.97026389248821|6.519117788980232
1048608|3665997|5647.8|67|1473.1754|20161230|365|0.8449911551510481|0.9346158294333493|MOST VALUED CUSTOMERS|100|7.29517548608775|8.639021367781229
1048608|6323658|43.03|2|9.1339|20160804|217|0.41600231651107883|0.5871379244739734|AVERAGE CUSTOMERS|300|2.211992766596899|3.7618975468505083
1048608|7293345|112.96|2|41.6787|20161206|341|0.5008951107698453|0.6909057013593919|GOOD CUSTOMERS|200|3.729990206939499|4.727033773744932
1048608|3307973|25.02|1|4.44|20160729|211|0.36830879620233603|0.537828433470243|LOWER RANGE CUSTOMERS|400|1.4906543764441336|3.219675505038765
1048608|7859335|2387.66|14|480.3682|20161222|357|0.7692623171872603|0.8580119353137025|MOST VALUED CUSTOMERS|100|6.174552893177218|7.77806908581624
1048608|7947736|318.59|11|47.9953|20160824|237|0.592097672699297|0.7005519429923156|GOOD CUSTOMERS|200|3.8711030894470744|5.763905009663833
1048608|8177949|136.79|3|17.275|20161228|363|0.5177316929600804|0.6307004764868296|AVERAGE CUSTOMERS|300|2.8492603696537335|4.918446903101353
1048608|4765276|116.0|1|8.3267|20160723|205|0.5032309970545912|0.5808130321514681|AVERAGE CUSTOMERS|300|2.1194672192238713|4.7535901911063645
1048608|3584228|370.5|1|79.8444|20160813|226|0.6053750050438824|0.7353447392013224|GOOD CUSTOMERS|200|4.380079740705137|5.914853444736141
1048608|8027155|26.5|3|9.865|20160312|72|0.3733637544651272|0.5924015417242513|AVERAGE CUSTOMERS|300|2.2889931394745786|3.2771447329921766
1048608|6611658|75.75|2|23.3059|20160518|139|0.4657469491565445|0.6511701184874685|AVERAGE CUSTOMERS|300|3.1487065474012845|4.327438444389479
